county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot,lag_1,log_lag_1,lag_2,log_lag_2,lag_3,log_lag_3,roll_mean_2,roll_mean_3,roll_std_3,log_roll_mean_2,log_roll_mean_3,diff_1,log_diff_1,pct_change,trend_up,national_kg,county_share_pct,z_score
Kisii,649.8,2024 H2,2024-09-30,7,2,2024,6.478202375344883,3831.99,0,553.5,6.318066806790422,1463.23,7.28908478600688,13.56,2.67827804276854,601.65,888.8433333333332,499.75839626096655,6.398134591067652,6.695117989380729,96.29999999999995,0.16013556855446076,17.398373983739823,1,14737.7,4.4091,0.465765372834723
Kisii,498.92,2025 H1,2025-03-31,8,1,2025,6.214448085620826,3831.99,0,649.8,6.478202375344883,553.5,6.318066806790422,1463.23,7.28908478600688,574.36,567.4066666666666,76.39528868545034,6.346325230482854,6.3369057559187105,-150.87999999999994,-0.2637542897240568,-23.219452139119724,0,12752.52,3.9123,0.15207180168899562
Kisumu,692.36,2021 H1,2021-03-31,0,1,2021,6.541549344826089,3119.09,0,,,,,,,692.36,692.36,0.0,6.541549344826089,6.541549344826089,,,,0,6932.09297,9.9877,0.8401379883438447
Kisumu,12.05,2021 H2,2021-09-30,1,2,2021,2.5687881337687024,3119.09,0,692.36,6.541549344826089,,,,,352.205,352.205,481.05181430902013,4.555168739297396,4.555168739297396,-680.3100000000001,-3.972761211057387,-98.25957594315096,0,4781.42,0.252,-0.8127349366924836
Kisumu,2.2,2022 H1,2022-03-31,2,1,2022,1.1631508098056809,3119.09,0,12.05,2.5687881337687024,692.36,6.541549344826089,,,7.125,235.53666666666666,395.6512656789225,1.8659694717871917,3.4244960961334905,-9.850000000000001,-1.4056373239630215,-81.74273858921161,0,3621.407,0.0607,-0.8366663772293093
Kisumu,73.05,2022 H2,2022-09-30,3,2,2022,4.304740540713808,3119.09,0,2.2,1.1631508098056809,12.05,2.5687881337687024,692.36,6.541549344826089,37.625,29.099999999999998,38.37912844242321,2.7339456752597444,2.678893161429397,70.85,3.1415897309081267,3220.4545454545455,1,7249.725,1.0076,-0.6645300765151879
Kisumu,1143.81,2023 H1,2023-03-31,4,1,2023,7.042993963354334,3119.09,0,73.05,4.304740540713808,2.2,1.1631508098056809,12.05,2.5687881337687024,608.43,406.3533333333333,639.6379304210573,5.673867252034071,4.170295104624608,1070.76,2.7382534226405264,1465.7905544147845,1,11866.28,9.6392,1.9369754330494204
Kisumu,2.02,2023 H2,2023-09-30,5,2,2023,1.1052568313867783,3119.09,0,1143.81,7.042993963354334,73.05,4.304740540713808,2.2,1.1631508098056809,572.915,406.2933333333333,639.6948025686415,4.0741253973705565,4.150997111818307,-1141.79,-5.937737131967555,-99.82339724254902,0,13714.12,0.0147,-0.8371037030462259
Kisumu,99.1,2024 H1,2024-03-31,6,1,2024,4.6061696863211745,3119.09,0,2.02,1.1052568313867783,1143.81,7.042993963354334,73.05,4.304740540713808,50.559999999999995,414.97666666666663,633.0518560381395,2.855713258853976,4.2514734936874286,97.08,3.500912854934396,4805.940594059405,1,13415.2,0.7387,-0.6012393124558675
Kisumu,678.2,2024 H2,2024-09-30,7,2,2024,6.520915634997138,3119.09,0,99.1,4.6061696863211745,2.02,1.1052568313867783,1143.81,7.042993963354334,388.65000000000003,259.77333333333337,365.60468833609525,5.563542660659156,4.07744738423503,579.1,1.9147459486759635,584.359233097881,1,14737.7,4.6018,0.8057350240797381
Kisumu,416.3,2025 H1,2025-03-31,8,1,2025,6.033805387597507,3119.09,0,678.2,6.520915634997138,99.1,4.6061696863211745,2.02,1.1052568313867783,547.25,397.86666666666673,289.9897297031971,6.2773605112973225,5.720296902971939,-261.90000000000003,-0.48711024739963094,-38.616927160129755,0,12752.52,3.2645,0.16942596046607014
Kitui,73.4,2021 H1,2021-03-31,0,1,2021,4.309455941839047,544.844,0,,,,,,,73.4,73.4,0.0,4.309455941839047,4.309455941839047,,,,0,6932.09297,1.0588,0.2748095798987292
Kitui,10.82,2021 H2,2021-09-30,1,2,2021,2.469793011977952,544.844,0,73.4,4.309455941839047,,,,,42.11,42.11,44.250742366654144,3.3896244769084993,3.3896244769084993,-62.580000000000005,-1.8396629298610945,-85.25885558583106,0,4781.42,0.2263,-1.0622982295501313
