county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot
Lamu,0.5,2024 H1,2024-03-31,6,1,2024,0.4054651081081644,34.37,0
Lamu,5.6,2024 H2,2024-09-30,7,2,2024,1.8870696490323797,34.37,0
Lamu,2.4,2025 H1,2025-03-31,8,1,2025,1.2237754316221157,34.37,0
Machakos,316.955,2021 H1,2021-03-31,0,1,2021,5.76190986333281,2630.886,0
Machakos,354.98,2021 H2,2021-09-30,1,2,2021,5.874874549498607,2630.886,0
Machakos,154.455,2022 H1,2022-03-31,2,1,2022,5.046356300670668,2630.886,0
Machakos,111.946,2022 H2,2022-09-30,3,2,2022,4.72690982838697,2630.886,0
Machakos,119.77,2023 H1,2023-03-31,4,1,2023,4.793887910287284,2630.886,0
Machakos,152.32,2023 H2,2023-09-30,5,2,2023,5.032527240512354,2630.886,0
Machakos,707.7,2024 H1,2024-03-31,6,1,2024,6.56343230581621,2630.886,0
Machakos,390.6,2024 H2,2024-09-30,7,2,2024,5.970240910656355,2630.886,0
Machakos,322.16,2025 H1,2025-03-31,8,1,2025,5.778147556611508,2630.886,0
Makueni,360.045,2021 H1,2021-03-31,0,1,2021,5.889002604303862,2016.4750000000001,0
Makueni,44.23,2021 H2,2021-09-30,1,2,2021,3.8117605834897517,2016.4750000000001,0
Makueni,572.16,2022 H1,2022-03-31,2,1,2022,6.351164909848402,2016.4750000000001,0
Makueni,5.34,2022 H2,2022-09-30,3,2,2022,1.8468787684491346,2016.4750000000001,0
Makueni,633.87,2023 H1,2023-03-31,4,1,2023,6.453420253524341,2016.4750000000001,0
Makueni,134.99,2023 H2,2023-09-30,5,2,2023,4.912581353620868,2016.4750000000001,0
Makueni,14.7,2024 H1,2024-03-31,6,1,2024,2.7536607123542622,2016.4750000000001,0
Makueni,236.5,2024 H2,2024-09-30,7,2,2024,5.470167623474696,2016.4750000000001,0
Makueni,14.64,2025 H1,2025-03-31,8,1,2025,2.7498317351171653,2016.4750000000001,0
Mandera,20.0,2021 H1,2021-03-31,0,1,2021,3.044522437723423,44.335,0
Mandera,0.0,2021 H2,2021-09-30,1,2,2021,0.0,44.335,0
Mandera,0.83,2022 H1,2022-03-31,2,1,2022,0.6043159668533296,44.335,0
Mandera,0.055,2022 H2,2022-09-30,3,2,2022,0.053540766928029816,44.335,0
Mandera,21.7,2023 H1,2023-03-31,4,1,2023,3.122364924487357,44.335,0
Mandera,0.25,2023 H2,2023-09-30,5,2,2023,0.22314355131420976,44.335,0
